generation,best,mean,median,stdev
1,0.806698437257639,0.8008971706778517,0.801184605808344,0.002097559966322943
2,0.8094790175497479,0.80331992051245,0.8033178134811081,0.002513433656803
3,0.8127849175271147,0.8049760866638985,0.8050441663083291,0.0022002627451849937
4,0.8123263867328737,0.8074878445712091,0.8076373858467256,0.0027852223726667685
5,0.8151981365867172,0.8091137651375113,0.8092365586265197,0.0026805748849845945
6,0.8164942800750108,0.8112863779768584,0.8116240996429034,0.0031408313281616235
7,0.8180318204760995,0.8127482073020362,0.8133574631527751,0.003663318993568461
8,0.8205450126481452,0.8151758307161204,0.8156456277897813,0.0035211051901122103
