generation,best,mean,median,stdev
1,0.8071904404645531,0.80045375993436,0.8006843818847967,0.0025330261059836223
2,0.8087312750582528,0.8031617555756931,0.8031160680043792,0.002167917463396906
3,0.8104094359670733,0.8051788038331555,0.8052256917778453,0.002328714796487081
4,0.8130844032600844,0.8073585856951894,0.8080975157318888,0.0033608702563041252
5,0.8168251010798558,0.8098394926493663,0.8097756014321977,0.0021957542408310767
6,0.8162975389998698,0.8105358040314993,0.8106462982200409,0.0034321152858606025
7,0.8192967024468005,0.8131171780193519,0.8131607417201643,0.0026550971041398126
8,0.8219120295178967,0.8149600852328682,0.8151850517117724,0.0027939335915921288
